__time,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726869034.293824,1726869034.293823957,-0.010536477,-0.021938264,-0.701706052,0.003943819,0.011511330,1.585983869,-0.712362647,0.543148100,-0.297391802,0.489328533
1726869034.303836,1726869034.303836107,-0.011527991,-0.016251647,-0.701527476,0.001592842,0.009834088,1.586511319,-0.712572753,0.541898847,-0.297217548,0.489239395
1726869034.313833,1726869034.313832521,-0.015329266,-0.011639241,-0.700615466,-0.001391687,0.009522200,1.589071648,-0.713474214,0.540776312,-0.297069252,0.489080995
1726869034.323839,1726869034.323839426,-0.009607066,-0.014366593,-0.701755524,0.001618814,0.008488208,1.585870823,-0.712365508,0.539709866,-0.297001153,0.489063978
1726869034.333828,1726869034.333828449,0.002369920,-0.022695692,-0.703579426,0.008826495,0.007229442,1.580592687,-0.710525036,0.538527668,-0.296961218,0.489226699
1726869034.333948,1726869034.333947659,0.008302547,-0.029755008,-0.703948319,0.013422006,0.007641919,1.579350039,-0.710083306,0.537475884,-0.296866983,0.489332289
1726869034.343828,1726869034.343827963,0.009060151,-0.030065283,-0.703312516,0.013793533,0.007497596,1.581119520,-0.710707486,0.536354601,-0.296660215,0.489254981
1726869034.353882,1726869034.353882074,0.009558214,-0.032502524,-0.703830600,0.014833762,0.008177249,1.579601787,-0.710165918,0.535228908,-0.296537548,0.489292353
1726869034.363832,1726869034.363831997,0.006943400,-0.031025530,-0.703654826,0.013383151,0.008576988,1.580178360,-0.710364223,0.534162045,-0.296329856,0.489263922
1726869034.373830,1726869034.373830080,0.006894741,-0.028242339,-0.703705132,0.012386997,0.007605003,1.580088110,-0.710343540,0.532926202,-0.296187252,0.489238977
