__time,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726870195.422369,1726870195.422369003,0.017908589,-0.023669678,0.711815000,-0.014712780,-0.001935403,1.556999595,0.702210248,0.637611210,-0.310741872,0.489404440
1726870195.432388,1726870195.432387590,0.017656977,-0.023961416,0.711755276,-0.014728108,-0.002128649,1.557168852,0.702269912,0.637582123,-0.310744017,0.489414543
1726870195.442386,1726870195.442385912,0.017749161,-0.023690609,0.711724222,-0.014664005,-0.002001423,1.557261133,0.702303171,0.637561083,-0.310741484,0.489432603
1726870195.452386,1726870195.452385664,0.017459684,-0.023613865,0.711813092,-0.014535319,-0.002075723,1.557015459,0.702215433,0.637559831,-0.310728759,0.489442676
1726870195.462430,1726870195.462429523,0.017674704,-0.023323994,0.711819172,-0.014507648,-0.001897292,1.556999898,0.702210486,0.637578011,-0.310717762,0.489443690
1726870195.472415,1726870195.472414732,0.018095512,-0.023704338,0.711809814,-0.014790722,-0.001881106,1.557009785,0.702214062,0.637618959,-0.310725927,0.489420354
1726870195.472475,1726870195.472474813,0.017535673,-0.023437444,0.711759210,-0.014499051,-0.001987858,1.557171071,0.702271104,0.637616575,-0.310748398,0.489421397
1726870195.482399,1726870195.482398987,0.018047214,-0.023230127,0.711938679,-0.014605301,-0.001729198,1.556653516,0.702087581,0.637613356,-0.310775638,0.489417851
1726870195.492420,1726870195.492420435,0.017836519,-0.023417650,0.711871386,-0.014597926,-0.001871447,1.556845745,0.702155650,0.637605667,-0.310778230,0.489425838
1726870195.502420,1726870195.502420425,0.018156374,-0.023053112,0.711927950,-0.014580575,-0.001628426,1.556685561,0.702099264,0.637611210,-0.310747296,0.489431500
1726870195.512482,1726870195.512482405,0.013673888,-0.027480763,0.711539149,-0.014580769,-0.004786737,1.557793768,0.702478945,0.637407303,-0.310926467,0.489536196
1726870195.522504,1726870195.522504330,0.018335248,-0.023113525,0.711969733,-0.014664958,-0.001585040,1.556561615,0.702055275,0.637600541,-0.310741812,0.489444703
1726870195.522613,1726870195.522613287,0.018488648,-0.023319170,0.711994410,-0.014792063,-0.001602032,1.556483810,0.702027559,0.637554705,-0.310740024,0.489480078
1726870195.532535,1726870195.532534599,0.018114109,-0.023014126,0.712001681,-0.014552033,-0.001628272,1.556477163,0.702025056,0.637521625,-0.310755610,0.489495993
1726870195.542495,1726870195.542494774,0.018244000,-0.022549975,0.711989462,-0.014432348,-0.001419400,1.556518880,0.702040374,0.637549698,-0.310745299,0.489477187
1726870195.552509,1726870195.552509069,0.013079119,-0.026807592,0.711258888,-0.014130442,-0.004767751,1.558617271,0.702771962,0.637359858,-0.310907841,0.489572793
1726870195.562484,1726870195.562484026,0.017759110,-0.023174723,0.711797953,-0.014484094,-0.001815282,1.557061619,0.702232659,0.637610972,-0.310731202,0.489427388
1726870195.572609,1726870195.572609425,0.012953435,-0.027442080,0.711224794,-0.014311710,-0.005036026,1.558703908,0.702800870,0.637368977,-0.310909092,0.489556819
1726870195.572734,1726870195.572733879,0.017796767,-0.023187634,0.711861312,-0.014502071,-0.001805094,1.556879977,0.702167988,0.637573838,-0.310748607,0.489433765
1726870195.582618,1726870195.582618475,0.017752732,-0.023371498,0.711793661,-0.014551879,-0.001886704,1.557069879,0.702235401,0.637571692,-0.310751528,0.489438266
1726870195.592623,1726870195.592622519,0.017667071,-0.023409131,0.711899936,-0.014535492,-0.001928217,1.556768148,0.702127874,0.637586892,-0.310734302,0.489430338
1726870195.602618,1726870195.602617741,0.017757090,-0.022952433,0.711867213,-0.014404438,-0.001736564,1.556868890,0.702164233,0.637606382,-0.310741544,0.489410192
1726870195.612598,1726870195.612598419,0.012301440,-0.027757942,0.711175740,-0.014194571,-0.005379958,1.558850436,0.702850461,0.637388229,-0.310934424,0.489530385
1726870195.622555,1726870195.622554541,0.017961557,-0.023619434,0.711844385,-0.014713570,-0.001898290,1.556915874,0.702180564,0.637607992,-0.310776830,0.489407390
1726870195.622667,1726870195.622666597,0.018085350,-0.024119485,0.711903453,-0.014935186,-0.002028428,1.556734402,0.702115595,0.637596011,-0.310774624,0.489430428
1726870195.632480,1726870195.632479668,0.017952346,-0.023536912,0.711847186,-0.014680971,-0.001872552,1.556909818,0.702178478,0.637587726,-0.310759723,0.489438921
1726870195.642469,1726870195.642468691,0.017755448,-0.022988447,0.711898148,-0.014416759,-0.001749153,1.556780151,0.702132642,0.637580872,-0.310731977,0.489463687
1726870195.652394,1726870195.652393818,0.018183162,-0.024035644,0.711870670,-0.014939581,-0.001964866,1.556827480,0.702148914,0.637584448,-0.310729653,0.489462942
1726870195.662469,1726870195.662469387,0.018434602,-0.023415887,0.711937249,-0.014807393,-0.001656423,1.556645662,0.702085018,0.637567461,-0.310737848,0.489474773
1726870195.672451,1726870195.672451019,0.018154388,-0.023360211,0.711885631,-0.014689095,-0.001737780,1.556799872,0.702139735,0.637581766,-0.310763955,0.489483237
1726870195.672548,1726870195.672548294,0.017777263,-0.022815417,0.711931944,-0.014362903,-0.001679971,1.556686860,0.702099562,0.637580037,-0.310762942,0.489482135
