__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z
1726769968.069619,69619166.000000000,1726769968.000000000,4.012092113,1.422925949,6.597027302,0.091055989,-0.061519012,-0.000060998
1726769968.072348,72348203.000000000,1726769968.000000000,4.156308174,1.314373970,6.533768654,0.088923991,-0.064000010,0.000996003
1726769968.092851,92850703.000000000,1726769968.000000000,4.256849289,1.382146835,6.747867584,0.090827003,-0.066327006,-0.000215996
1726769968.098067,98067259.000000000,1726769968.000000000,4.110449314,1.345564842,6.594097614,0.090248995,-0.063517004,-0.001061002
1726769968.103281,103281110.000000000,1726769968.000000000,4.147004128,1.517817259,6.560588837,0.093893997,-0.063457012,0.002204003
1726769968.125703,125703314.000000000,1726769968.000000000,4.179621220,1.369364738,6.684705734,0.091231003,-0.064663008,0.000486005
1726769968.131745,131744722.000000000,1726769968.000000000,4.184894085,1.294886112,6.782227039,0.088836983,-0.064614005,0.000628000
1726769968.135041,135040740.000000000,1726769968.000000000,4.154999256,1.322903633,6.683076382,0.090745002,-0.064421013,0.001694007
1726769968.155080,155080166.000000000,1726769968.000000000,4.146795273,1.366047144,6.778320789,0.091143981,-0.064254008,0.000640001
1726769968.159110,159110185.000000000,1726769968.000000000,4.148216248,1.403853893,6.499327183,0.091687992,-0.063520014,0.001190001
1726769968.162907,162907185.000000000,1726769968.000000000,4.198442459,1.337928295,6.843189716,0.089529991,-0.065160006,0.002500007
1726769968.185941,185940481.000000000,1726769968.000000000,4.286063194,1.416836023,6.777876854,0.091693990,-0.066617005,0.001156997
1726769968.190051,190050925.000000000,1726769968.000000000,4.204871178,1.470002890,6.467885494,0.092670992,-0.064581007,0.001018990
1726769968.193448,193448259.000000000,1726769968.000000000,4.187008381,1.360710859,6.839877129,0.090558983,-0.065527007,0.002508998
1726769968.217381,217380555.000000000,1726769968.000000000,4.179353237,1.288987398,6.965799332,0.089455009,-0.064924002,0.001815999
1726769968.221431,221431222.000000000,1726769968.000000000,4.099636555,1.344433308,6.563708782,0.089745015,-0.063393004,0.000816992
1726769968.225199,225198555.000000000,1726769968.000000000,4.108262539,1.346021414,6.998299122,0.090540990,-0.063229010,0.002144996
1726769968.247969,247968573.000000000,1726769968.000000000,4.084303379,1.300462723,6.904730797,0.089351989,-0.063486010,0.001977997
1726769968.251847,251846555.000000000,1726769968.000000000,4.103397369,1.313537598,6.531862736,0.089684010,-0.063019000,0.001178993
1726769968.255406,255406481.000000000,1726769968.000000000,4.039378166,1.346402407,6.882633209,0.089273997,-0.060223009,0.001961002
1726769968.278976,278975999.000000000,1726769968.000000000,4.151535988,1.310225010,6.846666813,0.088448979,-0.064187005,0.000771003
1726769968.283254,283253814.000000000,1726769968.000000000,4.081708431,1.363613129,6.656624794,0.090656981,-0.062709004,0.000471000
1726769968.286470,286470296.000000000,1726769968.000000000,4.183289528,1.309878588,6.842931271,0.089230999,-0.065018013,0.001305001
1726769968.310888,310887888.000000000,1726769968.000000000,4.123335361,1.420305252,6.906577110,0.091377005,-0.063422009,0.000772001
1726769968.316148,316147981.000000000,1726769968.000000000,4.191806316,1.411941528,6.656264305,0.091180980,-0.064769007,0.000128007
1726769968.319008,319008221.000000000,1726769968.000000000,4.196277618,1.312853813,6.962563038,0.090493992,-0.065588012,0.002171004
1726769968.341459,341459370.000000000,1726769968.000000000,4.097003460,1.420590162,6.903965473,0.091407001,-0.064064011,0.001280995
1726769968.345617,345617073.000000000,1726769968.000000000,4.153356552,1.302403212,6.623007774,0.090286985,-0.063993007,-0.001039006
1726769968.349418,349418481.000000000,1726769968.000000000,4.149975300,1.357446194,6.937464237,0.089683987,-0.064578004,0.001961000
1726769968.372540,372540370.000000000,1726769968.000000000,4.289694786,1.403211594,6.714637280,0.091339998,-0.067152008,0.001335006
1726769968.378564,378563851.000000000,1726769968.000000000,4.083556175,1.414516211,6.345120430,0.091623992,-0.062473007,-0.000344001
1726769968.382523,382522833.000000000,1726769968.000000000,4.149509430,1.276255369,6.689624310,0.088676989,-0.063390017,0.001330005
1726769968.402844,402843629.000000000,1726769968.000000000,4.172099113,1.431156635,6.748397350,0.091352999,-0.065411009,-0.000237994
1726769968.408002,408001740.000000000,1726769968.000000000,4.083914280,1.380902767,6.312809467,0.090791002,-0.063413009,-0.001030000
