__time,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726870679.936136,1726870679.936135769,0.041287829,-0.029930441,-0.426612288,0.025052585,0.004714755,2.259180371,-0.904075265,0.585212648,-0.307722420,0.485276341
1726870679.946146,1726870679.946145535,0.042339296,-0.029927039,-0.425970763,0.025523886,0.004506416,2.260573273,-0.904365540,0.584877133,-0.307708383,0.485284716
1726870679.956142,1726870679.956141710,0.041920616,-0.028711146,-0.425501645,0.025073458,0.004059462,2.261654968,-0.904601157,0.584462702,-0.307715595,0.485317051
1726870679.956278,1726870679.956278086,0.041723101,-0.027564518,-0.425065339,0.024738399,0.003595295,2.262655795,-0.904817462,0.584014773,-0.307723641,0.485369802
1726870679.966129,1726870679.966128826,0.041338304,-0.028098417,-0.424009025,0.024673253,0.003947451,2.264984600,-0.905313313,0.583586097,-0.307706952,0.485366851
1726870679.976066,1726870679.976066351,0.042597833,-0.028341673,-0.423026711,0.025290739,0.003817174,2.267117251,-0.905756176,0.583169699,-0.307672560,0.485336989
1726870679.986135,1726870679.986135006,0.043880699,-0.028416087,-0.422344983,0.025884651,0.003598229,2.268589109,-0.906058431,0.582806170,-0.307659298,0.485274345
1726870679.996165,1726870679.996165037,0.043634995,-0.027638154,-0.421530277,0.025606070,0.003321138,2.270415155,-0.906446755,0.582366049,-0.307653755,0.485207707
1726870680.006125,1726870680.006124735,0.043528773,-0.026062449,-0.420499951,0.025222762,0.002658659,2.272734510,-0.906938076,0.581797659,-0.307640016,0.485235423
1726870680.006257,1726870680.006257057,0.043315384,-0.025224704,-0.419549495,0.024947401,0.002350175,2.274857996,-0.907386601,0.581221282,-0.307612568,0.485245526
1726870680.016113,1726870680.016112566,0.042418999,-0.025507592,-0.418135464,0.024595959,0.002705253,2.277986046,-0.908047616,0.580663860,-0.307555467,0.485244095
1726870680.026137,1726870680.026136875,0.043198165,-0.024606189,-0.416927248,0.024758309,0.002165929,2.280653419,-0.908600032,0.580109119,-0.307518870,0.485242993
1726870680.036145,1726870680.036144733,0.044866066,-0.024206400,-0.412924767,0.025425080,0.001747780,2.289428760,-0.910408497,0.579820096,-0.307105571,0.485271841
1726870680.046126,1726870680.046126127,0.046482576,-0.024453080,-0.412426531,0.026210858,0.001539696,2.290479860,-0.910612524,0.579234600,-0.307071984,0.485238642
1726870680.056130,1726870680.056129932,0.047343571,-0.024829249,-0.411279768,0.026678411,0.001566374,2.292967122,-0.911117375,0.578541934,-0.307051539,0.485232204
1726870680.056268,1726870680.056268215,0.047292422,-0.025043312,-0.410555720,0.026697800,0.001695568,2.294551055,-0.911442995,0.577851355,-0.307051659,0.485220939
1726870680.066133,1726870680.066133022,0.048487278,-0.025614692,-0.410211921,0.027358850,0.001720060,2.295260477,-0.911578178,0.577232480,-0.307031125,0.485186040
1726870680.076092,1726870680.076092243,0.047059258,-0.027100447,-0.407932669,0.027006097,0.002757916,2.300248173,-0.912608385,0.576612175,-0.306975156,0.485176116
1726870680.086132,1726870680.086131573,0.044988978,-0.027473425,-0.405740052,0.026129566,0.003414238,2.305089354,-0.913608611,0.575943649,-0.306908518,0.485197663
1726870680.096132,1726870680.096131563,0.044583409,-0.027401805,-0.404787481,0.025926175,0.003491091,2.307185755,-0.914036512,0.575137377,-0.306894988,0.485267043
1726870680.096265,1726870680.096265316,0.045097866,-0.025859455,-0.405207545,0.025850249,0.002670474,2.306298270,-0.913855314,0.574384034,-0.306919217,0.485285044
1726870680.106135,1726870680.106135368,0.044467794,-0.024711445,-0.404070795,0.025326926,0.002305820,2.308831748,-0.914374173,0.573679149,-0.306913197,0.485282928
1726870680.116128,1726870680.116127968,0.045685239,-0.023938440,-0.403269410,0.025725713,0.001728616,2.310578874,-0.914717972,0.572929144,-0.306895226,0.485293269
1726870680.126131,1726870680.126131296,0.045812771,-0.024573161,-0.402780473,0.025910961,0.002006745,2.311627117,-0.914927661,0.572291136,-0.306893229,0.485276610
1726870680.136135,1726870680.136134624,0.045594022,-0.025146088,-0.401520610,0.025923101,0.002348490,2.314368976,-0.915480077,0.571564436,-0.306933939,0.485302418
1726870680.146133,1726870680.146132708,0.045063519,-0.025222396,-0.400086910,0.025691709,0.002530413,2.317509891,-0.916113675,0.570749819,-0.306925595,0.485385299
1726870680.156128,1726870680.156127691,0.043710931,-0.026045757,-0.397808999,0.025229016,0.003241294,2.322487666,-0.917115688,0.570041001,-0.306846470,0.485392809
1726870680.156266,1726870680.156266451,0.044926349,-0.026714443,-0.396957129,0.025916206,0.003329319,2.324298592,-0.917465150,0.569314599,-0.306837380,0.485393822
1726870680.166135,1726870680.166134834,0.046480816,-0.027249010,-0.396448940,0.026733465,0.003279699,2.325354665,-0.917661667,0.568615735,-0.306830466,0.485362440
