__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z
1726770883.341787,341787046.000000000,1726770883.000000000,5.610628605,0.343667269,5.471095085,0.125889003,-0.064777009,-0.008359003
1726770883.345611,345611435.000000000,1726770883.000000000,5.600862503,0.538535357,5.664189816,0.129326969,-0.061759003,-0.006852997
1726770883.366595,366594732.000000000,1726770883.000000000,5.494288445,0.390148640,5.792826176,0.127370000,-0.058312010,-0.008907005
1726770883.371401,371400898.000000000,1726770883.000000000,5.559798241,0.470168948,5.634529591,0.130340993,-0.058258001,-0.011075999
1726770883.374689,374689306.000000000,1726770883.000000000,5.554744720,0.517888784,5.824237347,0.132222980,-0.055357002,-0.009019998
1726770883.397582,397581917.000000000,1726770883.000000000,5.384716034,0.587054968,5.762994766,0.134248987,-0.052275006,-0.014159006
1726770883.402214,402213954.000000000,1726770883.000000000,5.460693359,0.434660792,5.636086464,0.131444007,-0.054555006,-0.014811007
1726770883.405211,405211472.000000000,1726770883.000000000,5.504734516,0.388969421,5.830914021,0.129276991,-0.054861005,-0.021199003
1726770883.428370,428369583.000000000,1726770883.000000000,5.410952568,0.414489031,5.833335876,0.131034985,-0.052124005,-0.029578011
1726770883.433567,433566509.000000000,1726770883.000000000,5.404527664,0.461825371,5.617275715,0.131145015,-0.052163005,-0.030768007
1726770883.438852,438851824.000000000,1726770883.000000000,5.539024353,0.376735449,5.901179314,0.129280001,-0.051979005,-0.022903012
1726770883.460041,460040806.000000000,1726770883.000000000,5.556409359,0.407139063,5.774792671,0.131435990,-0.050003000,-0.019074004
1726770883.467027,467026750.000000000,1726770883.000000000,5.486215115,0.569308877,5.555214405,0.136560008,-0.045330007,-0.013007006
1726770883.470910,470910046.000000000,1726770883.000000000,5.574957371,0.698933363,5.620027542,0.138891995,-0.044345997,-0.007011010
1726770883.489848,489847713.000000000,1726770883.000000000,5.475015163,0.647568345,5.652036190,0.139563993,-0.041066002,-0.010068005
