__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z
1726772375.312388,312388046.000000000,1726772375.000000000,4.177431107,1.516820669,5.278032303,0.097429000,-0.074929006,-0.007167006
1726772375.329965,329964565.000000000,1726772375.000000000,4.241568565,1.420228720,5.712374687,0.096416995,-0.075820014,-0.005997999
1726772375.335224,335224324.000000000,1726772375.000000000,4.169559479,1.475039244,5.523767948,0.097876981,-0.074741006,-0.006145002
1726772375.340545,340544842.000000000,1726772375.000000000,4.210092068,1.586454868,5.338599682,0.099909000,-0.073892012,-0.004233003
1726772375.362670,362670027.000000000,1726772375.000000000,4.181456566,1.386891127,5.556455612,0.095892996,-0.074834004,-0.005464001
1726772375.366998,366997916.000000000,1726772375.000000000,4.298806190,1.475727558,5.272811890,0.097780995,-0.076712012,-0.003527001
1726772375.371144,371144083.000000000,1726772375.000000000,4.342265129,1.464254856,5.550864220,0.098278008,-0.077480003,-0.003202997
1726772375.393373,393373583.000000000,1726772375.000000000,4.343907356,1.403399706,5.711626053,0.096237995,-0.076896004,-0.003238995
1726772375.400316,400315527.000000000,1726772375.000000000,4.429240227,1.450281620,5.266904354,0.098311983,-0.079516016,-0.002977006
1726772375.404964,404964268.000000000,1726772375.000000000,4.459686279,1.421354294,5.455616951,0.097130992,-0.080143012,-0.002327004
1726772375.423360,423360194.000000000,1726772375.000000000,4.445826530,1.265705824,5.645656109,0.093820989,-0.079871014,-0.003381999
1726772375.427987,427987361.000000000,1726772375.000000000,4.319599152,1.291097641,5.647593021,0.094078004,-0.077607013,-0.003230000
1726772375.432524,432524324.000000000,1726772375.000000000,4.378609180,1.375012398,5.364115238,0.095913999,-0.078879006,-0.003013000
1726772375.457103,457102731.000000000,1726772375.000000000,4.430604458,1.190946579,5.645598412,0.092265971,-0.080171011,-0.003897995
1726772375.461525,461525157.000000000,1726772375.000000000,4.380267143,1.291891098,5.330728054,0.094557002,-0.079856008,-0.003687002
1726772375.464745,464744824.000000000,1726772375.000000000,4.462986469,1.277377605,5.582992554,0.093733981,-0.080536008,-0.003036998
1726772375.485265,485265490.000000000,1726772375.000000000,4.319111347,1.341982603,5.648509979,0.094617993,-0.077576011,-0.002728004
1726772375.489167,489167139.000000000,1726772375.000000000,4.403468609,1.300544739,5.611350536,0.094499007,-0.080832005,-0.005445005
1726772375.492643,492642546.000000000,1726772375.000000000,4.480660915,1.366602182,5.548003197,0.095751993,-0.081673011,-0.003031000
1726772375.516571,516570861.000000000,1726772375.000000000,4.416526318,1.280516624,5.614345551,0.093501978,-0.080477007,-0.004425995
1726772375.520489,520489064.000000000,1726772375.000000000,4.459984303,1.382009745,5.275274277,0.093744978,-0.081067018,-0.003044000
1726772375.524256,524255990.000000000,1726772375.000000000,4.498975277,1.368303299,5.647018433,0.094164975,-0.081723012,-0.002220001
1726772375.548747,548746509.000000000,1726772375.000000000,4.323258400,1.438510418,5.772523880,0.096101008,-0.078441009,-0.004302995
1726772375.555730,555730305.000000000,1726772375.000000000,4.397331238,1.372062445,5.370232582,0.094323985,-0.079011008,-0.005272007
1726772375.559010,559009842.000000000,1726772375.000000000,4.341945648,1.488836765,5.652132034,0.096168004,-0.077750012,-0.003446003
1726772375.577645,577645157.000000000,1726772375.000000000,4.342442513,1.337595463,5.648439407,0.093823977,-0.079175010,-0.004458001
1726772375.582370,582370120.000000000,1726772375.000000000,4.295266628,1.407961130,5.744414806,0.095257983,-0.077236004,-0.004474999
1726772375.587174,587174231.000000000,1726772375.000000000,4.342371464,1.469332695,5.460042477,0.096858986,-0.078390010,-0.003397007
1726772375.611491,611490694.000000000,1726772375.000000000,4.242581367,1.276828527,5.619918823,0.092661992,-0.077234007,-0.006516997
1726772375.616236,616235898.000000000,1726772375.000000000,4.463876247,1.366441488,5.434401035,0.093708977,-0.079642013,-0.003912004
1726772375.620035,620034731.000000000,1726772375.000000000,4.330972672,1.332296371,5.619311810,0.094011977,-0.077707008,-0.004102008
1726772375.640175,640175453.000000000,1726772375.000000000,4.325282574,1.325923681,5.711102962,0.093911000,-0.078510009,-0.004802994
1726772375.644003,644003046.000000000,1726772375.000000000,4.409872055,1.418138504,5.266339779,0.097224995,-0.080682002,-0.005734006
1726772375.648367,648367212.000000000,1726772375.000000000,4.349033356,1.442402363,5.776253223,0.095354989,-0.078210011,-0.003630998
1726772375.672117,672116564.000000000,1726772375.000000000,4.447134972,1.359487772,5.772364616,0.095247999,-0.079791009,-0.006325996
1726772375.676809,676808731.000000000,1726772375.000000000,4.321578503,1.463871717,5.490989685,0.097288996,-0.078193009,-0.007677009
1726772375.682093,682093416.000000000,1726772375.000000000,4.380654335,1.345371246,5.682238102,0.093613982,-0.079080008,-0.004635999
1726772375.704193,704193324.000000000,1726772375.000000000,4.274833202,1.376299858,5.838006496,0.094865993,-0.076976009,-0.005684000
1726772375.708609,708608879.000000000,1726772375.000000000,4.263223171,1.562572002,5.584610462,0.099051997,-0.077038012,-0.005990002
1726772375.712409,712409324.000000000,1726772375.000000000,4.354818344,1.405462265,5.646914482,0.095322996,-0.079778016,-0.006171001
1726772375.733500,733500212.000000000,1726772375.000000000,4.430037498,1.320665598,5.714114189,0.093074977,-0.080049008,-0.007378006
1726772375.737656,737656157.000000000,1726772375.000000000,4.299757481,1.417262316,5.525473118,0.095738970,-0.077922001,-0.009924004
1726772375.740974,740974361.000000000,1726772375.000000000,4.331574440,1.499492168,5.771794796,0.097519986,-0.079014011,-0.008585991
1726772375.766080,766079712.000000000,1726772375.000000000,4.367595673,1.390586853,5.743867397,0.094331995,-0.080296010,-0.010826001
1726772375.770162,770161749.000000000,1726772375.000000000,4.307089329,1.469323397,5.558372498,0.096018977,-0.078408010,-0.011661004
1726772375.773650,773650416.000000000,1726772375.000000000,4.417004585,1.355175018,5.680826664,0.094486997,-0.079975016,-0.009589002
1726772375.796682,796681583.000000000,1726772375.000000000,4.225943565,1.372042656,5.779158592,0.094574980,-0.076054007,-0.011511996
1726772375.803718,803717694.000000000,1726772375.000000000,4.300253391,1.477067947,5.492761612,0.097418003,-0.077978007,-0.011968011
1726772375.807039,807039601.000000000,1726772375.000000000,4.360349655,1.289025545,5.712268353,0.093503997,-0.078914009,-0.009417998
1726772375.826585,826584546.000000000,1726772375.000000000,4.410579205,1.398280859,5.776854515,0.095625997,-0.078482002,-0.010622995
1726772375.830800,830799657.000000000,1726772375.000000000,4.287649155,1.425542831,5.557991505,0.097044989,-0.075526007,-0.009384997
1726772375.834539,834538842.000000000,1726772375.000000000,4.365206718,1.454720736,5.371653080,0.097453967,-0.076462008,-0.010554003
1726772375.857513,857513175.000000000,1726772375.000000000,4.288959503,1.308279276,5.713718414,0.094448984,-0.076815009,-0.011297008
1726772375.861967,861967305.000000000,1726772375.000000000,4.322524548,1.330755472,5.372661114,0.095356993,-0.075575009,-0.011230994
1726772375.865824,865824509.000000000,1726772375.000000000,4.415282249,1.351490259,5.776244164,0.095873982,-0.077205010,-0.009562999
1726772375.890120,890119490.000000000,1726772375.000000000,4.357518673,1.360138893,5.835679531,0.096963987,-0.076604009,-0.010759007
1726772375.896973,896972731.000000000,1726772375.000000000,4.184912205,1.375291109,5.151121140,0.097740993,-0.072962001,-0.012040002
1726772375.901341,901341231.000000000,1726772375.000000000,4.361733437,1.368464470,5.523897171,0.096722975,-0.076828010,-0.009352999
1726772375.918524,918524212.000000000,1726772375.000000000,4.392586708,1.298053980,5.772222519,0.096835993,-0.076147005,-0.010203000
1726772375.923163,923162620.000000000,1726772375.000000000,4.349442482,1.320809603,5.643160343,0.098191999,-0.075812012,-0.008800998
1726772375.927865,927865194.000000000,1726772375.000000000,4.366869450,1.380259037,5.139823914,0.100148968,-0.076358005,-0.008372001
1726772375.951111,951111435.000000000,1726772375.000000000,4.428116322,1.244545460,5.542491436,0.098239988,-0.078165010,-0.009945003
1726772375.956660,956660009.000000000,1726772375.000000000,4.462033272,1.236674547,5.259802341,0.098325990,-0.078710005,-0.007668007
1726772375.959464,959464138.000000000,1726772375.000000000,4.518959999,1.207936764,5.542906761,0.097833991,-0.078202009,-0.005637996
1726772375.980872,980872249.000000000,1726772375.000000000,4.604924202,1.158918381,5.539999962,0.097332001,-0.080051012,-0.005275004
1726772375.985463,985462583.000000000,1726772375.000000000,4.381418705,1.088135719,5.350184917,0.097451016,-0.076516002,-0.006094011
1726772375.989109,989109101.000000000,1726772375.000000000,4.581349373,1.064809799,5.631292820,0.097033009,-0.078426011,-0.001992991
1726772376.012084,12084546.000000000,1726772376.000000000,4.584675312,1.016670465,5.627680779,0.096549004,-0.079402007,-0.001125997
1726772376.016614,16614249.000000000,1726772376.000000000,4.649723530,0.951010942,5.469025135,0.096451998,-0.080257013,-0.002952997
1726772376.019880,19880046.000000000,1726772376.000000000,4.763801575,0.804580212,5.557416916,0.094867006,-0.082377009,-0.000692004
1726772376.043673,43672768.000000000,1726772376.000000000,4.756556511,0.842162371,5.649327278,0.095990010,-0.082726009,-0.003100004
1726772376.050555,50554620.000000000,1726772376.000000000,4.639709473,0.788910151,5.432869434,0.095019996,-0.080730006,-0.004962998
1726772376.054730,54730472.000000000,1726772376.000000000,4.922935486,0.875415325,5.677351952,0.096111014,-0.086730011,-0.002246011
1726772376.073213,73213286.000000000,1726772376.000000000,4.712042332,0.786361217,5.622235298,0.094116010,-0.081784002,-0.003800005
1726772376.077070,77070157.000000000,1726772376.000000000,4.706193447,0.847270250,5.465443611,0.095367990,-0.081828013,-0.004465999
1726772376.080823,80823471.000000000,1726772376.000000000,4.708713531,0.794487953,5.371312141,0.094856985,-0.081953011,-0.007010002
1726772376.104456,104455786.000000000,1726772376.000000000,4.998225212,0.650675297,5.587717056,0.094443008,-0.083596006,-0.005400004
1726772376.108444,108443879.000000000,1726772376.000000000,4.983660698,0.696542740,5.374657631,0.101990983,-0.071944013,-0.006053995
1726772376.112845,112845268.000000000,1726772376.000000000,4.892249584,0.540537596,5.679026604,0.106700003,-0.063791007,-0.005228000
1726772376.135119,135119509.000000000,1726772376.000000000,4.786218166,0.777832270,5.381935596,0.117825009,-0.059952009,-0.007977003
1726772376.139024,139023823.000000000,1726772376.000000000,4.765473366,1.028536320,4.903427124,0.126141995,-0.058824003,-0.010075998
1726772376.142498,142498157.000000000,1726772376.000000000,4.885094166,0.997728825,5.179219723,0.127197996,-0.059972003,-0.007491998
1726772376.168754,168754397.000000000,1726772376.000000000,4.637162209,1.002780318,5.243154049,0.131201997,-0.051073007,-0.009828999
1726772376.175804,175804046.000000000,1726772376.000000000,4.718163490,1.026890278,4.832839012,0.133480981,-0.051827006,-0.011779999
1726772376.179607,179607083.000000000,1726772376.000000000,4.757257462,1.159877181,5.077673912,0.138070002,-0.050776005,-0.009198005
1726772376.197152,197151990.000000000,1726772376.000000000,4.768231392,1.199476957,5.070298672,0.143066004,-0.048339006,-0.010642004
1726772376.201091,201090879.000000000,1726772376.000000000,4.802640438,1.311668754,4.819504738,0.147921011,-0.045311000,-0.011225997
1726772376.204587,204587379.000000000,1726772376.000000000,4.647643089,1.507686138,3.973389864,0.155036986,-0.039786000,-0.012767008
1726772376.229266,229265638.000000000,1726772376.000000000,4.566480160,1.316522956,4.598404408,0.152124003,-0.038584001,-0.016951000
1726772376.235362,235361934.000000000,1726772376.000000000,4.553071022,1.448254466,4.436348915,0.156441003,-0.038165998,-0.017412003
1726772376.238633,238633323.000000000,1726772376.000000000,4.563909054,1.463865876,4.436443329,0.157360002,-0.037861001,-0.020482007
1726772376.259420,259420083.000000000,1726772376.000000000,4.550286293,1.479691267,4.742376804,0.158669993,-0.038943008,-0.021024002
1726772376.264592,264591657.000000000,1726772376.000000000,4.429469109,1.491422415,4.681856632,0.159313008,-0.035888001,-0.020674003
1726772376.268422,268421990.000000000,1726772376.000000000,4.562550545,1.443433762,4.646337509,0.158351004,-0.039140001,-0.017399993
1726772376.289813,289813082.000000000,1726772376.000000000,4.588141441,1.358790636,4.577231884,0.158035994,-0.040431000,-0.015300998
1726772376.295053,295053434.000000000,1726772376.000000000,4.541680336,1.329329729,4.449007034,0.158071995,-0.040514003,-0.015275999
1726772376.300276,300276249.000000000,1726772376.000000000,4.656296253,1.355042458,4.727484226,0.157463998,-0.043767005,-0.010876013
1726772376.322331,322331471.000000000,1726772376.000000000,4.557181358,1.258396029,4.750836849,0.155488014,-0.046386000,-0.011756998
1726772376.326418,326417694.000000000,1726772376.000000000,4.610914230,1.241608858,4.649114132,0.155437991,-0.049779002,-0.009167007
1726772376.329890,329890360.000000000,1726772376.000000000,4.730919838,1.017454267,4.738809586,0.150756001,-0.054197002,-0.008999002
1726772376.352389,352388694.000000000,1726772376.000000000,4.598216057,1.049577951,4.802405834,0.151310980,-0.052301005,-0.011254004
1726772376.356367,356366786.000000000,1726772376.000000000,4.468886375,1.240970373,4.613204479,0.156503007,-0.049295999,-0.014644001
1726772376.360170,360170175.000000000,1726772376.000000000,4.426477432,1.161259532,5.052267551,0.154881984,-0.048571005,-0.016935999
1726772376.383450,383450379.000000000,1726772376.000000000,4.409254551,1.206155300,4.988381386,0.155921012,-0.049376007,-0.021901000
1726772376.387760,387760434.000000000,1726772376.000000000,4.171318531,1.255289555,4.708947182,0.158097997,-0.044362009,-0.025459005
1726772376.391360,391360360.000000000,1726772376.000000000,4.271607399,1.357522726,5.176621914,0.160444006,-0.045127008,-0.026023010
1726772376.415450,415450342.000000000,1726772376.000000000,4.221045971,1.216252089,4.921349525,0.161112994,-0.043100007,-0.028994003
1726772376.420157,420157101.000000000,1726772376.000000000,4.055240631,1.156556964,4.698058605,0.162391007,-0.040246002,-0.031667009
1726772376.423243,423243175.000000000,1726772376.000000000,4.131125450,1.263743877,4.943597794,0.165196985,-0.041366000,-0.029969011
1726772376.445825,445824638.000000000,1726772376.000000000,4.160511494,1.305975318,4.940137863,0.167187005,-0.041737009,-0.031656004
1726772376.450436,450436379.000000000,1726772376.000000000,4.190934181,1.372546434,4.560710907,0.170406997,-0.041004997,-0.029501004
1726772376.453998,453997731.000000000,1726772376.000000000,4.295702457,1.281758785,4.750858784,0.167788997,-0.041931998,-0.025072007
1726772376.477998,477998101.000000000,1726772376.000000000,4.287045002,1.264724731,4.749328136,0.167618006,-0.041838001,-0.022155002
1726772376.484977,484977082.000000000,1726772376.000000000,4.379197121,1.293528199,4.404785156,0.167878017,-0.043469004,-0.019534005
1726772376.487542,487542045.000000000,1726772376.000000000,4.642366409,1.193364143,4.647426605,0.166218981,-0.048834004,-0.013191006
1726772376.507179,507178619.000000000,1726772376.000000000,4.332011223,1.089667320,4.594697952,0.161794990,-0.044106007,-0.011892998
1726772376.512279,512279268.000000000,1726772376.000000000,4.497052193,1.193897724,4.587984562,0.160739005,-0.052585002,-0.009392005
1726772376.516968,516968101.000000000,1726772376.000000000,4.650037289,0.913277268,4.611238956,0.153773010,-0.060548004,-0.006672009
1726772376.540833,540832934.000000000,1726772376.000000000,4.750210762,1.020914555,4.929639816,0.151450008,-0.064390004,-0.003555994
1726772376.544980,544980082.000000000,1726772376.000000000,4.898874283,0.976960182,4.905008793,0.147426009,-0.067657009,-0.001034001
1726772376.547975,547974527.000000000,1726772376.000000000,4.960510254,0.804059744,5.166037560,0.140307993,-0.068876013,0.002290997
1726772376.569408,569408508.000000000,1726772376.000000000,5.001405239,0.817372084,5.196040630,0.139445990,-0.071064010,0.004489997
1726772376.573594,573593934.000000000,1726772376.000000000,4.995259285,0.662053585,5.196794987,0.136265993,-0.071931005,0.001233997
1726772376.576896,576896286.000000000,1726772376.000000000,5.081592560,0.623583078,5.420389175,0.134673998,-0.071727000,0.004114004
1726772376.601352,601352453.000000000,1726772376.000000000,5.038508415,0.607544661,5.387544155,0.134787992,-0.071786001,0.001207997
1726772376.605434,605433786.000000000,1726772376.000000000,4.788869381,0.521959186,5.174496651,0.132690996,-0.067920007,-0.003935995
1726772376.609156,609155805.000000000,1726772376.000000000,5.067125320,0.599271297,5.515031815,0.135104984,-0.071126014,-0.003249006
1726772376.630805,630804508.000000000,1726772376.000000000,5.092208385,0.453972578,5.454010010,0.137050003,-0.065236002,-0.005852000
1726772376.637682,637681693.000000000,1726772376.000000000,4.768805027,0.529780030,4.995186329,0.142535999,-0.052224003,-0.011715009
1726772376.641413,641412879.000000000,1726772376.000000000,4.769994259,0.609395623,4.953890324,0.149007991,-0.049737006,-0.013314005
1726772376.661134,661134230.000000000,1726772376.000000000,4.608018875,0.749181986,4.873875618,0.157227010,-0.047420003,-0.015780998
1726772376.665950,665950027.000000000,1726772376.000000000,4.680257320,0.853492796,4.828868389,0.164002016,-0.047511000,-0.016866997
1726772376.670103,670102619.000000000,1726772376.000000000,4.549912453,0.830683529,4.542678833,0.166964009,-0.043733001,-0.018647008
1726772376.693284,693283953.000000000,1726772376.000000000,4.576481342,0.895328283,4.697256088,0.169335023,-0.042571999,-0.016240992
1726772376.700289,700289360.000000000,1726772376.000000000,4.570936203,0.958151579,4.321259022,0.170984998,-0.042317003,-0.016181998
1726772376.703248,703248379.000000000,1726772376.000000000,4.635267258,0.931093097,4.724966049,0.170236006,-0.044092003,-0.014181004
1726772376.723134,723133749.000000000,1726772376.000000000,4.684765339,0.996967494,4.569602013,0.170776010,-0.045135006,-0.013488002
1726772376.727354,727353953.000000000,1726772376.000000000,4.531637669,0.980622590,4.354356766,0.170188993,-0.041802008,-0.011077005
1726772376.731485,731484971.000000000,1726772376.000000000,4.693152905,1.091116428,4.286919117,0.172711998,-0.044934005,-0.009678007
1726772376.754001,754000879.000000000,1726772376.000000000,4.753914356,1.017931342,4.473372936,0.170324981,-0.047238998,-0.007148000
1726772376.757775,757774953.000000000,1726772376.000000000,4.804029465,0.987280726,3.876818419,0.169856995,-0.049078006,-0.005514998
1726772376.761127,761126730.000000000,1726772376.000000000,4.770431042,0.839633226,4.279963017,0.166315004,-0.050721996,-0.002847005
1726772376.786321,786320638.000000000,1726772376.000000000,4.808577538,0.810153484,4.365793705,0.165275007,-0.055181008,-0.002360998
1726772376.791605,791604767.000000000,1726772376.000000000,4.843698978,1.009172440,4.047432899,0.169408008,-0.057138000,-0.001635001
