__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726772538.541015,541014652.000000000,1726772538.000000000,4.278915405,1.583139896,5.770149708,0.093897000,-0.077067003,0.046997007,,,,,,,,,,,,,,,
1726772538.544925,544925301.000000000,1726772538.000000000,4.348515511,1.652636051,5.987824917,0.095033996,-0.078569010,0.045765001,,,,,,,,,,,,,,,
1726772538.568271,568271486.000000000,1726772538.000000000,4.142963409,1.609755516,5.834379673,0.094387993,-0.075147010,0.042686008,,,,,,,,,,,,,,,
1726772538.574195,574195208.000000000,1726772538.000000000,4.235871315,1.668051004,5.207827091,0.095884010,-0.076548010,0.043475002,,,,,,,,,,,,,,,
1726772538.578008,578007893.000000000,1726772538.000000000,4.328756332,1.528934002,6.081659317,0.092145979,-0.079199009,0.046428002,,,,,,,,,,,,,,,
1726772538.599069,599068523.000000000,1726772538.000000000,4.323062420,1.587050438,5.925969124,0.094105974,-0.077905014,0.044754002,,,,,,,,,,,,,,,
1726772538.603636,603635801.000000000,1726772538.000000000,4.257964134,1.726315737,5.451820374,0.098177999,-0.077123016,0.045521006,,,,,,,,,,,,,,,
1726772538.606694,606694486.000000000,1726772538.000000000,4.209125519,1.623265743,5.961152554,0.094190978,-0.075267009,0.045924000,,,,,,,,,,,,,,,
1726772538.630849,630848912.000000000,1726772538.000000000,4.253952980,1.613225937,5.925840378,0.094390973,-0.077162012,0.045425002,,,,,,,,,,,,,,,
1726772538.636776,636775763.000000000,1726772538.000000000,4.280903339,1.549015045,5.646841049,0.093084991,-0.077174008,0.044442005,,,,,,,,,,,,,,,
1726772538.640603,640602763.000000000,1726772538.000000000,4.204019070,1.638842106,5.804402351,0.094203003,-0.075759009,0.046451006,,,,,,,,,,,,,,,
1726772538.659766,659765893.000000000,1726772538.000000000,4.315662384,1.520880699,6.052849770,0.092301980,-0.077719010,0.045755997,,,,,,,,,,,,,,,
1726772538.664385,664385282.000000000,1726772538.000000000,4.319580078,1.605381012,5.768901825,0.094150007,-0.078409009,0.046309009,,,,,,,,,,,,,,,
1726772538.668182,668182375.000000000,1726772538.000000000,4.314648628,1.668513775,5.833217144,0.095027991,-0.077837005,0.046119008,,,,,,,,,,,,,,,
1726772538.692259,692258986.000000000,1726772538.000000000,4.293910980,1.602336884,5.986437798,0.094505996,-0.078018010,0.045599002,,,,,,,,,,,,,,,
1726772538.699296,699296578.000000000,1726772538.000000000,4.208668709,1.548262835,5.674464703,0.093598977,-0.077346012,0.042381007,,,,,,,,,,,,,,,
1726772538.702922,702922041.000000000,1726772538.000000000,4.281884193,1.601213455,5.958427429,0.093977980,-0.076961011,0.047136001,,,,,,,,,,,,,,,
1726772538.722009,722009486.000000000,1726772538.000000000,4.398258209,1.601729870,6.082346439,0.093672998,-0.079475008,0.046094008,,,,,,,,,,,,,,,
1726772538.726593,726592856.000000000,1726772538.000000000,4.225777149,1.635475636,5.679440022,0.094485991,-0.075627007,0.046480011,,,,,,,,,,,,,,,
1726772538.730267,730266467.000000000,1726772538.000000000,4.185173512,1.655797005,5.676211357,0.095488995,-0.075691007,0.045629013,,,,,,,,,,,,,,,
1726772538.753002,753001578.000000000,1726772538.000000000,4.283079147,1.583459854,5.895663738,0.093575992,-0.077478006,0.045772005,,,,,,,,,,,,,,,
1726772538.757233,757232819.000000000,1726772538.000000000,4.180337906,1.569072247,5.739052296,0.094015002,-0.075617008,0.044600010,,,,,,,,,,,,,,,
1726772538.760974,760974060.000000000,1726772538.000000000,4.323361397,1.624831200,5.957020283,0.094246976,-0.078309007,0.046962000,,,,,,,,,,,,,,,
1726772538.785714,785714393.000000000,1726772538.000000000,4.311902046,1.551776886,6.084695816,0.092362978,-0.078093007,0.045394003,,,,,,,,,,,,,,,
1726772538.792639,792639578.000000000,1726772538.000000000,4.253121376,1.561501980,5.706034184,0.094217002,-0.076882005,0.044620011,,,,,,,,,,,,,,,
1726772538.795520,795519800.000000000,1726772538.000000000,4.183910370,1.659443378,5.898753166,0.094366997,-0.075474009,0.046258006,,,,,,,,,,,,,,,
1726772538.813966,813965893.000000000,1726772538.000000000,4.257219315,1.555124760,6.086284637,0.092382982,-0.076590002,0.046417002,,,,,,,,,,,,,,,
1726772538.818105,818105263.000000000,1726772538.000000000,4.224381447,1.612149239,5.928141117,0.094356984,-0.075932011,0.044738002,,,,,,,,,,,,,,,
1726772538.822749,822748912.000000000,1726772538.000000000,4.333006859,1.471545696,5.863244057,0.094891980,-0.074524008,0.043987997,,,,,,,,,,,,,,,
1726772538.845589,845588745.000000000,1726772538.000000000,4.206559181,1.381849766,5.582500458,0.103860989,-0.071104020,0.047165014,,,,,,,,,,,,,,,
1726772538.849747,849746615.000000000,1726772538.000000000,4.228195190,1.649306297,5.064862728,0.115699001,-0.069211006,0.046518996,,,,,,,,,,,,,,,
1726772538.852852,852852337.000000000,1726772538.000000000,4.188673973,1.893706799,5.310933590,0.121484980,-0.068216011,0.044948999,,,,,,,,,,,,,,,
1726772538.877001,877000560.000000000,1726772538.000000000,4.087226868,1.865677834,5.403502941,0.121142983,-0.067095004,0.045272000,,,,,,,,,,,,,,,
1726772538.881066,881066134.000000000,1726772538.000000000,4.152398109,1.757644176,4.895254612,0.120588988,-0.069560006,0.047784008,,,,,,,,,,,,,,,
1726772538.884828,884828078.000000000,1726772538.000000000,4.278010368,1.836190701,5.429463387,0.121350989,-0.070025004,0.050449003,,,,,,,,,,,,,,,
1726772538.907571,907571393.000000000,1726772538.000000000,4.252367973,1.859271526,5.399574757,0.121103987,-0.069734007,0.052147999,,,,,,,,,,,,,,,
1726772538.911803,911803449.000000000,1726772538.000000000,4.039892197,1.759679317,5.120334625,0.120175011,-0.065908007,0.047736000,,,,,,,,,,,,,,,
1726772538.915170,915170374.000000000,1726772538.000000000,4.318247318,1.919278622,5.265076637,0.123667985,-0.072884008,0.050138004,,,,,,,,,,,,,,,
1726772538.940243,940243282.000000000,1726772538.000000000,4.275180340,1.807031631,5.233732224,0.121977985,-0.072489008,0.047582004,,,,,,,,,,,,,,,
1726772538.947239,947238597.000000000,1726772538.000000000,4.282098770,1.818509102,4.741073132,0.121062979,-0.071458012,0.046431005,,,,,,,,,,,,,,,
1726772538.950876,950875837.000000000,1726772538.000000000,4.221722126,1.883949757,5.244291306,0.120457001,-0.071319014,0.046821993,,,,,,,,,,,,,,,
1726772538.968534,968534041.000000000,1726772538.000000000,4.498799324,1.796652794,4.953221321,0.121254981,-0.074509010,0.057066008,,,,,,,,,,,,,,,
1726772538.973104,973104300.000000000,1726772538.000000000,4.468334198,1.895356655,4.991782665,0.120478004,-0.073553011,0.062137999,,,,,,,,,,,,,,,
1726772538.977649,977648874.000000000,1726772538.000000000,4.573319912,1.766933441,4.857792377,0.111216001,-0.075833008,0.058943011,,,,,,,,,,,,,,,
1726772539.003203,3202782.000000000,1726772539.000000000,4.805479527,1.513555527,5.237565994,0.106738999,-0.080925010,0.033738002,,,,,,,,,,,,,,,
1726772539.007281,7280985.000000000,1726772539.000000000,4.793423176,1.668985367,4.956294537,0.110075995,-0.080073014,0.033092000,,,,,,,,,,,,,,,
1726772539.010704,10704300.000000000,1726772539.000000000,4.327545166,1.509542942,5.412261963,0.104421988,-0.068276010,0.043570001,,,,,,,,,,,,,,,
1726772539.033601,33600911.000000000,1726772539.000000000,4.415016651,1.687423229,5.435068130,0.108397961,-0.070077009,0.053518008,,,,,,,,,,,,,,,
1726772539.040555,40555134.000000000,1726772539.000000000,4.276041508,1.647944927,5.493782997,0.108984992,-0.069595009,0.044094004,,,,,,,,,,,,,,,
1726772539.043479,43478874.000000000,1726772539.000000000,4.386464119,1.723348141,5.429556847,0.110343993,-0.070769012,0.049938004,,,,,,,,,,,,,,,
1726772539.061738,61738189.000000000,1726772539.000000000,4.402221680,1.575816631,5.582765579,0.108188003,-0.070853010,0.055254005,,,,,,,,,,,,,,,
1726772539.066367,66367171.000000000,1726772539.000000000,4.384824753,1.659886360,5.335198879,0.110454984,-0.067616008,0.061303999,,,,,,,,,,,,,,,
1726772539.071036,71035541.000000000,1726772539.000000000,4.363731384,1.162231922,5.342920780,0.108047009,-0.069130003,0.060446002,,,,,,,,,,,,,,,
