__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726773287.261296,261295928.000000000,1726773287.000000000,4.478105545,1.710940838,4.917634010,0.125791997,-0.040456999,-0.019132005,,,,,,,,,,,,,,,
1726773287.264294,264294447.000000000,1726773287.000000000,4.416858673,1.714350462,5.144897938,0.123881005,-0.040067002,-0.028127009,,,,,,,,,,,,,,,
1726773287.286916,286916410.000000000,1726773287.000000000,4.343692303,1.822410107,5.139824867,0.126594990,-0.039303001,-0.023500003,,,,,,,,,,,,,,,
1726773287.291611,291610928.000000000,1726773287.000000000,4.239284515,1.886997938,5.012322903,0.128390983,-0.038313001,-0.024858002,,,,,,,,,,,,,,,
1726773287.294790,294790354.000000000,1726773287.000000000,4.352489471,1.754415512,5.329551697,0.124986999,-0.039740000,-0.028157007,,,,,,,,,,,,,,,
1726773287.317604,317604132.000000000,1726773287.000000000,4.023344994,1.770494699,5.208760738,0.126194999,-0.032720998,-0.030037008,,,,,,,,,,,,,,,
1726773287.321856,321855910.000000000,1726773287.000000000,4.141615391,1.702128768,5.011088848,0.127169013,-0.036996003,-0.037835017,,,,,,,,,,,,,,,
1726773287.325969,325968577.000000000,1726773287.000000000,4.175832272,1.574549079,5.324759007,0.123855002,-0.038500998,-0.038747016,,,,,,,,,,,,,,,
1726773287.354755,354755354.000000000,1726773287.000000000,3.999490261,1.737389326,4.917770386,0.128355995,-0.035145007,-0.043828011,,,,,,,,,,,,,,,
1726773287.358343,358342836.000000000,1726773287.000000000,3.986560345,1.820256710,5.138876438,0.128102988,-0.035681002,-0.040993005,,,,,,,,,,,,,,,
1726773287.379603,379603206.000000000,1726773287.000000000,3.876941204,1.635539293,5.234736443,0.124541007,-0.034488004,-0.044781011,,,,,,,,,,,,,,,
