__time,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873515.889690,1726873515.889689684,0.011790793,-0.059714222,0.349514961,-0.015963899,-0.025904238,2.426788163,0.936436594,0.543313444,-0.184535325,0.439864635
1726873515.899697,1726873515.899696589,0.008851989,-0.059972255,0.349827021,-0.014640817,-0.026534863,2.426211026,0.936324000,0.542277098,-0.183022603,0.439845234
1726873515.909691,1726873515.909690619,0.005216160,-0.055874300,0.349508852,-0.012211169,-0.025257872,2.427059420,0.936512947,0.541326046,-0.181386918,0.440073580
1726873515.919695,1726873515.919694662,0.016264177,-0.058965046,0.363616407,-0.018300833,-0.024496149,2.396453543,0.931046784,0.541487873,-0.176529184,0.439968884
1726873515.929702,1726873515.929702044,0.007907628,-0.050711000,0.364291728,-0.012921751,-0.022167645,2.395390157,0.930931389,0.540198505,-0.174833328,0.440217167
1726873515.949685,1726873515.949684858,-0.022917374,-0.049368056,0.352772117,0.002016007,-0.027133912,2.420815216,0.935313702,0.536058784,-0.172407985,0.441311330
1726873516.109686,1726873516.109686375,-0.059977769,-0.058087911,0.366451174,0.017269984,-0.037981696,2.392265128,0.929501355,0.512866557,-0.128347188,0.445167989
1726873516.109811,1726873516.109811068,-0.066232396,-0.060682909,0.371137142,0.019502616,-0.040425655,2.382330515,0.927492738,0.511929035,-0.125760764,0.445675313
1726873516.119693,1726873516.119693041,-0.075271262,-0.065223443,0.377267808,0.022567373,-0.044346623,2.369350205,0.924766541,0.511073291,-0.122921959,0.446113318
1726873516.209532,1726873516.209531546,-0.104932549,-0.031141306,0.383036762,0.042487804,-0.034439284,2.355821798,0.922112644,0.496538192,-0.091314830,0.447837889
1726873516.209685,1726873516.209684610,-0.064095697,-0.037302414,0.377049357,0.022653181,-0.029336996,2.369011882,0.925451219,0.493882149,-0.087791316,0.447318465
1726873516.219518,1726873516.219518185,-0.059835474,-0.036366452,0.377720743,0.020836251,-0.028118612,2.367514120,0.925257981,0.492204875,-0.084237285,0.447717577
1726873516.229516,1726873516.229515791,-0.061020543,-0.031067662,0.380448014,0.022307409,-0.025957635,2.361497183,0.924168766,0.490554661,-0.080648012,0.448266178
1726873516.239690,1726873516.239689589,-0.061421689,-0.027739709,0.380063117,0.023135079,-0.024487251,2.362249119,0.924346924,0.488877624,-0.076969512,0.448618859
1726873516.249676,1726873516.249676228,-0.062738217,0.004899757,0.377173960,0.029968323,-0.009570166,2.367549616,0.925608039,0.487850130,-0.073245153,0.450008959
1726873516.259670,1726873516.259670496,-0.062890519,0.009894592,0.375765353,0.030991113,-0.007242692,2.370425357,0.926168203,0.486290306,-0.069674604,0.450478554
1726873516.259771,1726873516.259771347,-0.063172415,0.007901733,0.377292007,0.030733863,-0.008268292,2.367189131,0.925547361,0.484530002,-0.066109881,0.450828612
1726873516.269678,1726873516.269677877,-0.059552324,0.001944742,0.379681617,0.027909188,-0.010410521,2.362266093,0.924637556,0.482597321,-0.062680051,0.450936288
1726873516.279676,1726873516.279676199,-0.065003440,0.005033849,0.378450096,0.031027950,-0.009978871,2.364751789,0.925047755,0.481308430,-0.059079058,0.451242149
1726873516.289676,1726873516.289676428,-0.066838538,-0.009215042,0.381412208,0.029129114,-0.017003188,2.358783966,0.923789620,0.479393393,-0.055761620,0.451201797
1726873516.299688,1726873516.299688339,-0.068142038,-0.021068173,0.382147759,0.027456248,-0.022743020,2.357545904,0.923413217,0.477777779,-0.052310165,0.451045901
1726873516.309673,1726873516.309673071,-0.075286400,-0.020867453,0.381051600,0.030822029,-0.023976952,2.359882462,0.923728764,0.476508886,-0.048923910,0.451485693
1726873516.309776,1726873516.309775829,-0.078691910,-0.015500304,0.376732111,0.033518609,-0.021992868,2.369016527,0.925454378,0.475332141,-0.045427706,0.451748341
1726873516.319682,1726873516.319681883,-0.087879941,-0.031555182,0.383721620,0.034517657,-0.031400021,2.354427707,0.922269106,0.473009676,-0.042240456,0.451720804
1726873516.329592,1726873516.329592466,-0.092630631,-0.033149024,0.382276803,0.036456250,-0.032985285,2.357609430,0.922739148,0.471519798,-0.038864020,0.452029645
1726873516.339676,1726873516.339675903,-0.119736107,-0.007085855,0.380422741,0.053974163,-0.026060626,2.360028741,0.922868490,0.470517635,-0.035737474,0.452198565
1726873516.349820,1726873516.349819899,-0.116958252,-0.019730060,0.382593989,0.050223861,-0.031466283,2.356084732,0.922013819,0.468990892,-0.032636654,0.452652097
1726873516.359667,1726873516.359667063,-0.043473717,-0.100067943,0.385730535,0.000766383,-0.054504830,2.350525829,0.920999885,0.467198640,-0.029355953,0.453406811
1726873516.359775,1726873516.359775305,-0.108374919,-0.039317651,0.379126757,0.042680994,-0.038676787,2.364657933,0.923550487,0.465641379,-0.025520571,0.453636289
1726873516.379678,1726873516.379678249,-0.113924007,-0.040394769,0.376187444,0.045169733,-0.040076077,2.371055589,0.924573720,0.462695360,-0.018773036,0.454658031
1726873516.399676,1726873516.399676323,-0.110245865,-0.048357433,0.373699039,0.042093433,-0.042948253,2.376812723,0.925598562,0.459481508,-0.011940849,0.455843508
1726873516.409660,1726873516.409660339,-0.080533671,-0.046864473,0.365071356,0.028939376,-0.036472518,2.395210737,0.929814637,0.459263414,-0.007905179,0.458078384
1726873516.409748,1726873516.409747601,-0.066640661,-0.051183347,0.363547653,0.021745168,-0.035921011,2.398463538,0.930628896,0.458006829,-0.004555496,0.459027678
1726873516.419669,1726873516.419669390,-0.061617379,-0.052454635,0.360294163,0.019298626,-0.035536569,2.405410799,0.931961894,0.456644624,-0.000920790,0.459824324
1726873516.429679,1726873516.429679155,-0.067313267,-0.041628506,0.359043270,0.023943845,-0.031483699,2.407906658,0.932482421,0.454977512,0.002744017,0.460424334
1726873516.439667,1726873516.439667463,-0.064532753,-0.052525277,0.356566817,0.020790083,-0.036009204,2.413446594,0.933344185,0.453283757,0.006465932,0.460854948
1726873516.449683,1726873516.449682951,-0.075281495,-0.050682069,0.356979072,0.026123056,-0.037066903,2.412650850,0.933011115,0.451281071,0.010180864,0.461172581
1726873516.459672,1726873516.459672213,-0.066738200,-0.051819501,0.353913605,0.022048434,-0.036008626,2.419142864,0.934324622,0.449552983,0.013860968,0.461630434
1726873516.459792,1726873516.459791899,-0.071454959,-0.056643426,0.354185909,0.023391731,-0.039097253,2.418743498,0.934064507,0.447579145,0.017663650,0.461916924
1726873516.469678,1726873516.469678402,-0.066201791,-0.056968846,0.351249158,0.020997658,-0.038258772,2.424954097,0.935264349,0.445806742,0.021538803,0.462419122
1726873516.479606,1726873516.479605913,-0.071003654,-0.053243261,0.351644188,0.023882888,-0.037365984,2.424090557,0.935082853,0.443942398,0.025490813,0.462774247
1726873516.489704,1726873516.489703894,-0.069457170,-0.054436259,0.349256724,0.023045743,-0.037594434,2.429203016,0.935988963,0.442206413,0.029425662,0.463209897
1726873516.499677,1726873516.499676704,-0.074989307,-0.055081168,0.348100334,0.025573656,-0.038824469,2.431767590,0.936303794,0.440155566,0.033222064,0.463425130
1726873516.509668,1726873516.509667873,-0.072112438,-0.066426554,0.346776843,0.022317769,-0.043603387,2.434835905,0.936667800,0.438111573,0.036876377,0.463343918
1726873516.509789,1726873516.509789467,-0.070899787,-0.075969497,0.347873449,0.020042965,-0.047884993,2.432682392,0.936103344,0.435905963,0.040544115,0.463374346
1726873516.519685,1726873516.519684792,-0.071964108,-0.082113284,0.347602934,0.019491594,-0.050936904,2.433418156,0.936054409,0.434036881,0.044314452,0.463680863
1726873516.529664,1726873516.529663563,-0.072932845,-0.070803280,0.342872828,0.022136696,-0.045701202,2.443286939,0.938008368,0.432348043,0.048162166,0.464060813
1726873516.539668,1726873516.539668322,-0.071694460,-0.067345849,0.340307713,0.022265453,-0.043809231,2.448644847,0.939029098,0.430833161,0.051962569,0.464820087
1726873516.549677,1726873516.549677134,-0.072550039,-0.059349621,0.337049603,0.024163540,-0.040117867,2.455397830,0.940321326,0.429292768,0.055637881,0.465634137
1726873516.559654,1726873516.559653521,-0.113313347,-0.045074710,0.344103217,0.045436930,-0.040578570,2.440218547,0.936953485,0.426373035,0.058618966,0.465082914
1726873516.559831,1726873516.559831142,-0.071663885,-0.063328282,0.333866805,0.023219213,-0.041760709,2.462247834,0.941408396,0.425707221,0.062689602,0.466643006
1726873516.569683,1726873516.569683313,-0.069302510,-0.069816188,0.332491338,0.021090869,-0.044390999,2.465272767,0.941824973,0.423812330,0.066131227,0.467078805
1726873516.579667,1726873516.579667091,-0.111606160,-0.053601671,0.339826643,0.043379162,-0.044075463,2.449736485,0.938452721,0.421020865,0.068938479,0.466728389
1726873516.589667,1726873516.589666605,-0.107093247,-0.059403946,0.338361591,0.040350031,-0.045970336,2.453077779,0.939026117,0.419245452,0.072208948,0.467273206
1726873516.599667,1726873516.599666595,-0.112560399,-0.062131444,0.336228669,0.042571768,-0.048066892,2.457798503,0.939589024,0.417614847,0.075480871,0.467922270
1726873516.609659,1726873516.609658718,-0.071311670,-0.078156947,0.324715227,0.021057064,-0.048475463,2.481999684,0.944334030,0.417093515,0.079193205,0.469728917
