__time,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873838.408894,1726873838.408894300,0.069698683,-0.133235486,0.395173818,-0.058393005,-0.047168273,2.321991796,0.915534377,0.548759222,-0.242988944,0.432650626
1726873838.418728,1726873838.418727636,0.067543119,-0.123211155,0.396887392,-0.055489801,-0.042927522,2.319041721,0.915182233,0.547350407,-0.241780609,0.432533890
1726873838.428773,1726873838.428773165,0.073501472,-0.120322086,0.398234189,-0.057703003,-0.040318705,2.315821567,0.914578736,0.545827866,-0.240570784,0.432617784
1726873838.438625,1726873838.438624620,0.076429153,-0.121310438,0.397887796,-0.059226453,-0.040195640,2.316290958,0.914637566,0.544421256,-0.239378542,0.432664186
1726873838.448733,1726873838.448732853,-0.007897348,-0.085782073,0.400065631,-0.013547904,-0.040871780,2.317944225,0.915474534,0.542689800,-0.238322720,0.430347294
1726873838.458725,1726873838.458724737,-0.009667693,-0.085035924,0.400162905,-0.012590808,-0.040883262,2.317814555,0.915445089,0.541179538,-0.237115279,0.430420220
1726873838.458855,1726873838.458855391,-0.008359960,-0.087079638,0.399309427,-0.013561349,-0.041569389,2.319595939,0.915772974,0.539702177,-0.235858425,0.430422604
1726873838.468801,1726873838.468801022,-0.020118161,-0.079401134,0.398758709,-0.006607273,-0.040404379,2.321336190,0.916141510,0.538141787,-0.234596223,0.430401981
1726873838.488575,1726873838.488574982,-0.016871308,-0.085281258,0.398890793,-0.009277016,-0.042449482,2.320876159,0.915968418,0.535103858,-0.232013449,0.430662543
1726873838.498563,1726873838.498562813,-0.020248505,-0.080276054,0.399446756,-0.006752690,-0.040826026,2.319832181,0.915822029,0.533450842,-0.230711594,0.430717051
